Influencer_ID,Name,Platform,Followers,Engagement_Rate,Niche,Avg_Likes,Avg_Comments,Audience_Age,Audience_Gender,Audience_Location,Past_Brand_Collabs,Fraud_Score
55,Influencer_55,YouTube,239183,3.48,Lifestyle,8323,297,22-41,"86% Male, 14% Female",South Korea,Apple,9
56,Influencer_56,TikTok,433491,2.85,Music,12354,514,19-35,"53% Male, 51% Female",South Korea,"Coca-Cola, Uber Eats",5
57,Influencer_57,TikTok,586644,5.15,Finance,30212,1373,23-28,"88% Male, 45% Female",Australia,"Coca-Cola, L'Oreal, Adidas",1
58,Influencer_58,YouTube,332484,9.45,Gaming,31419,1653,19-44,"90% Male, 29% Female",South Korea,"L'Oreal, Nike",7
59,Influencer_59,Instagram,825552,3.29,Finance,27160,936,29-28,"60% Male, 33% Female",UK,Zara,10
60,Influencer_60,YouTube,440449,9.78,Food,43075,1485,20-31,"48% Male, 17% Female",South Korea,Zara,2
61,Influencer_61,Twitter,761375,3.51,Finance,26724,1113,26-33,"87% Male, 43% Female",Brazil,"L'Oreal, Apple",7
62,Influencer_62,YouTube,968303,2.33,Finance,22561,902,27-33,"40% Male, 58% Female",France,"Samsung, Zara",4
63,Influencer_63,YouTube,414682,4.6,Tech,19075,1192,27-38,"83% Male, 17% Female",USA,"Nike, Sony",9
64,Influencer_64,YouTube,322546,7.74,Beauty,24965,832,25-40,"46% Male, 14% Female",South Korea,"H&M, Coca-Cola",2
65,Influencer_65,Twitter,902362,5.72,Fashion,51615,2346,24-45,"81% Male, 28% Female",South Korea,Nike,3
66,Influencer_66,TikTok,697853,7.11,Beauty,49617,3544,24-34,"68% Male, 59% Female",Brazil,"Zara, Tesla",1
67,Influencer_67,Twitter,99008,8.83,Tech,8742,380,16-27,"41% Male, 41% Female",Canada,"Nike, Sony, Uber Eats",5
68,Influencer_68,Instagram,877824,9.32,Fitness,81813,3408,23-40,"61% Male, 36% Female",Australia,"Coca-Cola, Samsung, Tesla",1
69,Influencer_69,TikTok,833841,2.26,Fitness,18844,753,21-39,"65% Male, 50% Female",Australia,"Zara, Apple, Coca-Cola",4
70,Influencer_70,Twitter,453186,9.65,Lifestyle,43732,1619,18-26,"79% Male, 35% Female",Australia,"Samsung, Tesla",9
71,Influencer_71,Instagram,230489,4.98,Travel,11478,425,22-43,"63% Male, 48% Female",Canada,H&M,5
72,Influencer_72,TikTok,294453,6.01,Fitness,17696,1608,18-26,"45% Male, 47% Female",India,"Adidas, H&M, Tesla",1
73,Influencer_73,Instagram,783610,9.43,Fashion,73894,3078,19-28,"84% Male, 35% Female",South Korea,"Samsung, H&M",8
74,Influencer_74,TikTok,119297,2.28,Fashion,2719,104,22-43,"84% Male, 53% Female",France,"Zara, L'Oreal",8
75,Influencer_75,Instagram,629501,8.04,Finance,50611,2410,26-35,"47% Male, 29% Female",UK,"Tesla, H&M, Coca-Cola",6
76,Influencer_76,YouTube,724192,9.9,Finance,71695,2757,19-35,"62% Male, 15% Female",Brazil,Coca-Cola,8
77,Influencer_77,TikTok,684720,7.55,Music,51696,2067,27-39,"89% Male, 27% Female",Australia,H&M,3
78,Influencer_78,Twitter,748171,8.95,Music,66961,2911,27-43,"71% Male, 43% Female",India,Apple,9
79,Influencer_79,TikTok,388189,7.78,Gaming,30201,1589,29-38,"52% Male, 20% Female",France,"Nike, Zara, Adidas",10
80,Influencer_80,YouTube,852955,2.97,Fitness,25332,2533,23-43,"65% Male, 60% Female",India,Tesla,9
81,Influencer_81,TikTok,841660,4.98,Food,41914,1995,17-44,"81% Male, 42% Female",India,"Tesla, Coca-Cola",2
82,Influencer_82,Twitter,735955,4.45,Travel,32749,2183,19-32,"62% Male, 50% Female",Germany,"Tesla, Nike",10
83,Influencer_83,YouTube,95946,1.76,Finance,1688,76,16-44,"76% Male, 27% Female",USA,Tesla,8
84,Influencer_84,Twitter,696454,6.57,Food,45757,4575,30-28,"67% Male, 38% Female",UK,"Adidas, Sony",7
85,Influencer_85,Instagram,520138,7.49,Fashion,38958,1558,24-30,"60% Male, 53% Female",UK,"L'Oreal, H&M",10
86,Influencer_86,Instagram,414166,2.28,Gaming,9442,786,21-28,"61% Male, 36% Female",Germany,"L'Oreal, Sony",2
87,Influencer_87,Instagram,514329,5.52,Fashion,28390,1091,23-31,"75% Male, 54% Female",India,"Uber Eats, Sony, Nike",4
88,Influencer_88,Instagram,603079,8.24,Fashion,49693,3549,23-29,"51% Male, 44% Female",Australia,"Uber Eats, Coca-Cola, Apple",4
89,Influencer_89,YouTube,404523,7.89,Tech,31916,1387,24-26,"42% Male, 46% Female",Australia,Sony,1
90,Influencer_90,Twitter,30896,2.1,Fashion,648,40,20-44,"74% Male, 57% Female",Germany,"Zara, Samsung, Uber Eats",9
91,Influencer_91,YouTube,212370,6.75,Lifestyle,14334,895,30-45,"56% Male, 29% Female",UK,Tesla,7
92,Influencer_92,Instagram,981829,9.81,Finance,96317,3210,17-26,"55% Male, 30% Female",France,"Samsung, Sony, Apple",4
93,Influencer_93,Instagram,920983,2.68,Finance,24682,914,29-33,"64% Male, 24% Female",Japan,"Samsung, L'Oreal, Zara",9
94,Influencer_94,Instagram,403383,8.96,Travel,36143,1445,23-36,"41% Male, 30% Female",India,"H&M, Samsung, Tesla",8
95,Influencer_95,Instagram,61476,8.14,Fitness,5004,250,24-35,"73% Male, 30% Female",USA,"Coca-Cola, L'Oreal",4
96,Influencer_96,Instagram,272898,3.73,Gaming,10179,678,21-43,"82% Male, 41% Female",USA,"Apple, Sony",4
97,Influencer_97,YouTube,794562,9.82,Tech,78025,7093,21-43,"60% Male, 14% Female",Brazil,"L'Oreal, Coca-Cola, Adidas",1
98,Influencer_98,Instagram,382097,2.32,Food,8864,554,28-45,"68% Male, 15% Female",UK,Samsung,8
99,Influencer_99,Instagram,560026,9.39,Fitness,52586,1752,23-25,"41% Male, 27% Female",Germany,"Samsung, L'Oreal",6
100,Influencer_100,Twitter,135876,7.03,Lifestyle,9552,561,22-26,"80% Male, 44% Female",France,"L'Oreal, Sony",10
